rank,company,fortune_ticker,sec_ticker,cik,cik_padded,sec_name,edgar_submissions_api,edgar_companyfacts_api,edgar_companyconcept_revenues_api,edgar_filings_browse,status,match_source
216,L3Harris Technologies,LHX,LHX,202058,0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",https://data.sec.gov/submissions/CIK0000202058.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000202058.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000202058/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000202058&type=&dateb=&owner=include&count=40,matched,company_tickers_json
217,Tenet Healthcare,THC,THC,70318,0000070318,TENET HEALTHCARE CORP,https://data.sec.gov/submissions/CIK0000070318.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070318.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000070318/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000070318&type=&dateb=&owner=include&count=40,matched,company_tickers_json
218,Fiserv,FI,FISV,798354,0000798354,FISERV INC,https://data.sec.gov/submissions/CIK0000798354.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000798354.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000798354/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000798354&type=&dateb=&owner=include&count=40,matched,company_tickers_json
219,Cognizant Technology,CTSH,CTSH,1058290,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,https://data.sec.gov/submissions/CIK0001058290.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001058290.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001058290/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001058290&type=&dateb=&owner=include&count=40,matched,company_tickers_json
220,GE HealthCare Technologies,GEHC,GEHC,1932393,0001932393,GE HealthCare Technologies Inc.,https://data.sec.gov/submissions/CIK0001932393.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001932393.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001932393/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001932393&type=&dateb=&owner=include&count=40,matched,company_tickers_json
221,Automatic Data Processing,ADP,ADP,8670,0000008670,AUTOMATIC DATA PROCESSING INC,https://data.sec.gov/submissions/CIK0000008670.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000008670.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000008670/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000008670&type=&dateb=&owner=include&count=40,matched,company_tickers_json
222,Colgate-Palmolive,CL,CL,21665,0000021665,COLGATE PALMOLIVE CO,https://data.sec.gov/submissions/CIK0000021665.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000021665.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000021665/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000021665&type=&dateb=&owner=include&count=40,matched,company_tickers_json
223,Carvana,CVNA,CVNA,1690820,0001690820,CARVANA CO.,https://data.sec.gov/submissions/CIK0001690820.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001690820.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001690820/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001690820&type=&dateb=&owner=include&count=40,matched,company_tickers_json
224,Bank of New York,BK,BNY,1390777,0001390777,Bank of New York Mellon Corp,https://data.sec.gov/submissions/CIK0001390777.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001390777.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001390777/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001390777&type=&dateb=&owner=include&count=40,matched,company_tickers_json
225,Boston Scientific,BSX,BSX,885725,0000885725,BOSTON SCIENTIFIC CORP,https://data.sec.gov/submissions/CIK0000885725.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000885725.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000885725/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000885725&type=&dateb=&owner=include&count=40,matched,company_tickers_json
